Matrice,Pourcentage_Suppression,Alpha,Iterations,Temps,Somme_PageRank
Matrix\india-2004.mtx,0.00,0.85,102,16.1542,0.999999999999708
Matrix\india-2004.mtx,0.00,0.90,156,26.7989,1.000000000000137
Matrix\india-2004.mtx,0.00,0.95,313,45.6107,0.999999999999951
Matrix\india-2004.mtx,0.00,0.99,1564,152.7035,0.999999999999971
Matrix\india-2004.mtx,0.10,0.85,97,15.0125,1.000000000000524
Matrix\india-2004.mtx,0.10,0.90,147,25.0128,1.000000000000913
Matrix\india-2004.mtx,0.10,0.95,295,51.4505,0.999999999999357
Matrix\india-2004.mtx,0.10,0.99,1466,222.0043,0.999999999998917
Matrix\india-2004.mtx,0.20,0.85,97,8.0592,1.000000000001465
Matrix\india-2004.mtx,0.20,0.90,147,13.4753,0.999999999998280
Matrix\india-2004.mtx,0.20,0.95,292,49.8401,1.000000000001264
Matrix\india-2004.mtx,0.20,0.99,1453,186.5361,0.999999999998574
