Matrice,Pourcentage_Suppression,Alpha,Iterations,Temps,Somme_PageRank
Matrix\wikipedia-20051105.mtx,0.00,0.85,68,37.9932,0.999999999976655
Matrix\wikipedia-20051105.mtx,0.00,0.90,103,74.7434,1.000000000003829
Matrix\wikipedia-20051105.mtx,0.00,0.95,211,208.2369,0.999999999993654
Matrix\wikipedia-20051105.mtx,0.00,0.99,1076,917.3857,1.000000000009113
Matrix\wikipedia-20051105.mtx,0.10,0.85,69,49.6739,0.999999999976512
Matrix\wikipedia-20051105.mtx,0.10,0.90,103,76.7969,0.999999999990214
Matrix\wikipedia-20051105.mtx,0.10,0.95,218,168.7777,1.000000000016394
Matrix\wikipedia-20051105.mtx,0.10,0.99,1082,1241.0654,0.999999999981811
Matrix\wikipedia-20051105.mtx,0.20,0.85,71,43.2948,0.999999999978446
Matrix\wikipedia-20051105.mtx,0.20,0.90,109,64.7700,1.000000000022081
Matrix\wikipedia-20051105.mtx,0.20,0.95,217,122.7427,1.000000000007185
Matrix\wikipedia-20051105.mtx,0.20,0.99,1113,909.7408,1.000000000017716
